index,dropoff_latitude,dropoff_longitude,dropoff_datetime
133368,40.75924682617188,-73.9749755859375,2016-01-14 08:00:28+00:00
133962,40.750919342041016,-73.97853088378906,2016-01-14 08:00:25+00:00
134935,40.709869384765625,-74.0153579711914,2016-01-14 08:00:06+00:00
136295,40.76057052612305,-73.96116638183594,2016-01-14 08:00:09+00:00
136342,40.759037017822266,-73.9783706665039,2016-01-14 08:00:00+00:00
136495,40.74476623535156,-73.99920654296875,2016-01-14 08:00:03+00:00
145801,40.7589111328125,-73.98275756835938,2016-01-14 08:00:06+00:00
145874,40.77398681640625,-73.94544219970702,2016-01-14 08:00:22+00:00
148788,40.77342987060547,-73.96639251708984,2016-01-14 08:00:22+00:00
151883,40.73979949951172,-73.97295379638672,2016-01-14 08:00:20+00:00
152245,40.758316040039055,-73.97703552246094,2016-01-14 08:00:27+00:00
153978,40.74488830566406,-73.98680877685547,2016-01-14 08:00:23+00:00
155544,40.75403213500977,-73.9775161743164,2016-01-14 08:00:19+00:00
156832,40.7488899230957,-74.0023422241211,2016-01-14 08:00:03+00:00
157008,40.71269989013672,-74.00920867919923,2016-01-14 08:00:23+00:00
166353,40.75265121459961,-73.98602294921875,2016-01-14 08:00:21+00:00
169010,40.7796287536621,-73.97371673583984,2016-01-14 08:00:10+00:00
173620,40.78384017944336,-73.94745635986328,2016-01-14 08:00:11+00:00
175605,40.7462158203125,-73.9788589477539,2016-01-14 08:00:20+00:00
175845,40.75800704956055,-73.9856185913086,2016-01-14 08:00:05+00:00
176653,40.75667572021485,-73.97787475585938,2016-01-14 08:00:14+00:00
176817,40.77320098876953,-73.9483413696289,2016-01-14 08:00:00+00:00
177261,40.70267868041992,-74.01416778564453,2016-01-14 08:00:27+00:00
179005,40.75768661499024,-73.98200225830078,2016-01-14 08:00:21+00:00
182190,40.755027770996094,-73.9750442504883,2016-01-14 08:00:13+00:00
182529,40.72146987915039,-74.0097885131836,2016-01-14 08:00:08+00:00
188416,40.78230667114258,-73.95777893066406,2016-01-14 08:00:28+00:00
190272,40.75368881225585,-73.9791030883789,2016-01-14 08:00:27+00:00
196398,40.76070785522461,-73.97516632080078,2016-01-14 08:00:14+00:00
196964,40.74403762817383,-73.98365020751955,2016-01-14 08:00:26+00:00
200404,40.76200866699219,-73.96976470947266,2016-01-14 08:00:28+00:00
202814,40.75365829467773,-73.98163604736328,2016-01-14 08:00:29+00:00
204977,40.75874328613281,-73.96975708007811,2016-01-14 08:00:29+00:00
208187,40.74912643432617,-74.00321960449219,2016-01-14 08:00:21+00:00
209812,40.84121322631836,-73.93982696533203,2016-01-14 08:00:10+00:00
215048,40.75200653076172,-73.97657775878906,2016-01-14 08:00:05+00:00
220846,40.74769973754883,-74.0002670288086,2016-01-14 08:00:07+00:00
221724,40.765533447265625,-73.96770477294923,2016-01-14 08:00:26+00:00
228586,40.72146987915039,-74.00983428955078,2016-01-14 08:00:03+00:00
228796,40.76964950561523,-73.95469665527344,2016-01-14 08:00:08+00:00
230659,40.73591232299805,-73.98853302001955,2016-01-14 08:00:01+00:00
233334,40.75239181518555,-73.96894836425781,2016-01-14 08:00:11+00:00
237352,40.755531311035156,-73.97737884521484,2016-01-14 08:00:09+00:00
238233,40.74536895751953,-73.98438262939453,2016-01-14 08:00:24+00:00
240245,40.77992248535156,-73.9469985961914,2016-01-14 08:00:22+00:00
245610,40.75239181518555,-73.99337005615234,2016-01-14 08:00:20+00:00
